front,back
What is existentialism?,A philosophical movement emphasizing individual existence, freedom, and choice
Who is considered the father of existentialism?,Søren Kierkegaard
What does "existence precedes essence" mean?,Humans exist first and define themselves through actions rather than having a predetermined nature
Who said "Man is condemned to be free"?,Jean-Paul Sartre
What is authenticity in existentialism?,Living according to one's own values and choices rather than conforming to external expectations
What is bad faith (mauvaise foi)?,Self-deception where one denies their freedom and responsibility
What is the absurd according to Camus?,The conflict between humans' search for meaning and the universe's silent indifference
Who wrote "The Myth of Sisyphus"?,Albert Camus
What is Sartre's concept of "the Other"?,Other people whose gaze objectifies us and limits our freedom
Who wrote "Being and Nothingness"?,Jean-Paul Sartre
What is Heidegger's concept of Dasein?,Human existence or "being-there" - our way of existing in the world
What is thrownness (Geworfenheit)?,The condition of finding ourselves existing in a world we didn't choose
What is angst or existential anxiety?,The dread arising from awareness of freedom and responsibility
Who wrote "Fear and Trembling"?,Søren Kierkegaard
What is the leap of faith?,Kierkegaard's concept of committing to belief despite rational uncertainty
Who wrote "The Second Sex"?,Simone de Beauvoir
What did de Beauvoir mean by "One is not born but becomes a woman"?,Gender is socially constructed not biologically determined
What is Nietzsche's concept of the Übermensch?,The ideal of a person who creates their own values and meaning
What does "God is dead" mean for Nietzsche?,Traditional religious and moral foundations have lost their authority in modern life
What is eternal recurrence?,Nietzsche's thought experiment: would you live your life the same way infinitely?
What is nihilism?,The belief that life lacks objective meaning, purpose, or value
Who wrote "Thus Spoke Zarathustra"?,Friedrich Nietzsche
What is facticity?,The concrete facts of one's situation that limit but don't determine choices
What is transcendence in existentialism?,The capacity to go beyond one's current situation through choices and projects
Who wrote "The Stranger"?,Albert Camus
What is Heidegger's being-toward-death?,Authentic existence requires confronting our mortality
What is the existentialist view of human nature?,There is no fixed human nature - we create ourselves through our choices
Who wrote "Nausea"?,Jean-Paul Sartre
What is commitment (engagement) in existentialism?,Taking responsibility through active involvement in the world
What is the relationship between freedom and responsibility in existentialism?,Complete freedom implies complete responsibility for one's choices and their consequences
