front,back
¿Quién es conocido como el Rey del Rock and Roll?,Elvis Presley
¿Qué canción de 1954 de Elvis lanzó el rock and roll al mainstream?,"That's All Right"
¿Quién grabó "Johnny B. Goode"?,Chuck Berry
¿Quién es conocido como el Padre del Rock and Roll?,Chuck Berry
¿Qué instrumento popularizó Chuck Berry en el rock?,Guitarra eléctrica
¿Quién cantó "Tutti Frutti"?,Little Richard
¿Cuál fue el primer éxito número uno de Elvis Presley?,Heartbreak Hotel (1956)
¿Quién grabó "Great Balls of Fire"?,Jerry Lee Lewis
¿Cómo se llamaba el estilo de tocar de Jerry Lee Lewis?,Boogie-woogie en piano
¿Quién cantó "Blue Suede Shoes"?,Carl Perkins (también grabada por Elvis)
¿Dónde estaba ubicado el famoso estudio Sun Records?,"Memphis, Tennessee"
¿Quién fundó Sun Records?,Sam Phillips
¿Qué grupo doo-wop cantó "Earth Angel"?,The Penguins
¿Quién cantó "La Bamba"?,Ritchie Valens
¿Qué tragedia ocurrió el 3 de febrero de 1959?,"El Día que la Música Murió (accidente de avión matando a Buddy Holly, Ritchie Valens, The Big Bopper)"
¿Quién cantó "Peggy Sue"?,Buddy Holly
¿Cómo se llamaba la banda de Buddy Holly?,The Crickets
¿Quién grabó "Blueberry Hill"?,Fats Domino
¿Qué género dominó las listas pop de principios de los 1950?,Crooners y música de big band
¿Quién cantó "Fly Me to the Moon" originalmente?,Kaye Ballard (1954)
¿Quién fue el artista más vendido de los años 1950?,Elvis Presley
¿Qué moda de baile arrasó en los años 1950?,El twist
¿Quién cantó "Rock Around the Clock"?,Bill Haley & His Comets
¿Qué película presentó "Rock Around the Clock"?,Semilla de Maldad (1955)
¿Quién cantó "Only You"?,The Platters
¿Cuál fue la primera canción de rock and roll en llegar al número uno?,"Rock Around the Clock" de Bill Haley (1955)
¿Quién grabó "Maybellene"?,Chuck Berry
¿Qué artista femenina cantó una respuesta a "I Walk the Line"?,Patsy Cline influenció el country-pop
¿Quién era la Reina del Rockabilly?,Wanda Jackson
¿Qué instrumento definió el sonido del rock and roll de los años 1950?,"Guitarra eléctrica, batería y piano"
¿Quién cantó "Hound Dog" antes de Elvis?,Big Mama Thornton
