front,back
¿Qué es la ética?,La rama de la filosofía que trata con principios morales y lo que es correcto e incorrecto
¿Qué es la metaética?,El estudio de la naturaleza, fundamentos y significado de los juicios morales
¿Qué es la ética normativa?,El estudio de teorías éticas que prescriben cómo debemos actuar
¿Qué es la ética aplicada?,La aplicación de teorías éticas a cuestiones específicas del mundo real
¿Qué es el utilitarismo?,La teoría de que la acción correcta maximiza la felicidad o bienestar general
¿Quién fundó el utilitarismo clásico?,Jeremy Bentham y John Stuart Mill
¿Qué es el principio de utilidad?,Las acciones son correctas si promueven felicidad e incorrectas si producen infelicidad
¿Qué es la ética deontológica?,Ética enfocada en deberes y reglas en lugar de consecuencias
¿Quién desarrolló el imperativo categórico?,Immanuel Kant
¿Qué es el imperativo categórico (primera formulación)?,Actúa solo según máximas que podrías querer como leyes universales
¿Qué es el imperativo categórico (formulación de la humanidad)?,Trata a la humanidad nunca solo como medio, sino siempre también como fin
¿Qué es la ética de las virtudes?,Ética enfocada en desarrollar buenos rasgos de carácter en lugar de seguir reglas
¿Quién es el fundador de la ética de las virtudes?,Aristóteles
¿Qué es eudaimonía?,Florecimiento humano o bienestar - el objetivo de la vida según Aristóteles
¿Qué es el relativismo moral?,La visión de que las verdades morales varían entre culturas o individuos
¿Qué es el objetivismo moral?,La visión de que algunas verdades morales son universales e independientes de opinión
¿Qué es el problema del tranvía?,Un experimento mental sobre si es ético sacrificar a uno para salvar a muchos
¿Qué es la doctrina del doble efecto?,Puede ser permitido causar daño como efecto secundario, pero no como medio
¿Qué es la suerte moral?,La forma en que la suerte afecta el juicio moral de acciones y sus resultados
¿Qué es el consecuencialismo?,La visión de que las acciones deben juzgarse solo por sus consecuencias
¿Cuál es la diferencia entre utilitarismo de acto y de regla?,Acto: juzga la utilidad de cada acción; Regla: sigue reglas que generalmente maximizan utilidad
¿Qué es la teoría del contrato social?,La visión de que las reglas morales y políticas se basan en acuerdos entre individuos
¿Quién escribió "Una Teoría de la Justicia"?,John Rawls
¿Qué es el velo de la ignorancia?,El experimento mental de Rawls para determinar principios justos de justicia
¿Qué es el problema ser-deber?,La dificultad de derivar conclusiones morales de premisas factuales (Hume)
¿Qué es la autonomía moral?,La capacidad de tomar decisiones morales basadas en el propio razonamiento
¿Qué es el egoísmo ético?,La visión de que uno debe actuar en su propio interés
¿Qué es el altruismo?,Preocupación desinteresada por el bienestar de otros
¿Qué son los deberes prima facie?,Deberes que son vinculantes a menos que sean superados por deberes más fuertes (W.D. Ross)
¿Qué es la regla de oro?,Trata a los demás como te gustaría ser tratado
