"front","back"
"Quem foi o primeiro europeu a chegar à Índia por mar em 1498?","Vasco da Gama, um explorador português que navegou ao redor do Cabo da Boa Esperança"
"Qual explorador liderou a primeira expedição a circum-navegar o globo (1519-1522)?","Fernão de Magalhães (embora tenha morrido nas Filipinas; Juan Sebastián Elcano completou a viagem)"
"Quem é creditado por 'descobrir' as Américas em 1492?","Cristóvão Colombo, um navegador italiano a serviço da Espanha, que chegou ao Caribe"
"Qual explorador norueguês liderou a primeira expedição a alcançar o Polo Sul em 1911?","Roald Amundsen, chegando em 14 de dezembro de 1911 — derrotando Robert Falcon Scott por 34 dias"
"Quem foi o primeiro europeu a chegar ao Brasil em 1500?","Pedro Álvares Cabral, um navegador português que desembarcou perto da atual Porto Seguro"
"Qual explorador é conhecido por mapear grande parte da costa noroeste do Pacífico na América do Norte?","Capitão James Cook, um oficial da Marinha Real Britânica que fez três viagens ao Pacífico"
"Quem liderou a expedição do Corps of Discovery através do oeste dos Estados Unidos (1804-1806)?","Meriwether Lewis e William Clark"
"Qual mercador veneziano viajou pela Rota da Seda até a China e serviu na corte de Kublai Khan?","Marco Polo, que documentou suas viagens em 'As Viagens de Marco Polo' (c. 1300)"
"Quem foi a primeira pessoa a alcançar o Polo Norte, tradicionalmente creditada em 1909?","Robert Peary (embora essa alegação seja contestada; Frederick Cook também afirmou tê-lo alcançado em 1908)"
"Qual príncipe português patrocinou muitas viagens de exploração ao longo da costa africana no século XV?","Infante Dom Henrique, o Navegador, que estabeleceu uma escola de navegação em Sagres"
"Quem liderou a primeira expedição europeia a ver o Oceano Pacífico a partir das Américas em 1513?","Vasco Núñez de Balboa, um explorador espanhol que cruzou o Istmo do Panamá"
"Qual explorador conquistou o Império Asteca em 1519-1521?","Hernán Cortés, um conquistador espanhol que derrotou Montezuma II"
"Quem conquistou o Império Inca em 1532-1533?","Francisco Pizarro, um conquistador espanhol que capturou o Imperador Atahualpa"
"Qual corsário inglês foi a segunda pessoa a circum-navegar o globo (1577-1580)?","Sir Francis Drake, a bordo do Golden Hind"
"Quem explorou o Rio São Lourenço e reivindicou o Canadá para a França nos anos 1530?","Jacques Cartier, um navegador francês de Saint-Malo"
"Qual explorador deu ao Oceano Pacífico seu nome em 1520?","Fernão de Magalhães, que o chamou de 'Mar Pacífico' devido às suas águas calmas"
"Quem foi o primeiro europeu a alcançar a costa leste da Austrália em 1770?","Capitão James Cook, que mapeou a costa e a reivindicou para a Grã-Bretanha como Nova Gales do Sul"
"Qual estudioso marroquino é considerado um dos maiores viajantes da história, percorrendo 120.000 km no século XIV?","Ibn Battuta, que viajou pela África, Ásia e Europa por quase 30 anos"
"Quem liderou a primeira expedição bem-sucedida pela Passagem Noroeste (1903-1906)?","Roald Amundsen, a bordo do Gjøa"
"Qual almirante chinês comandou enormes frotas de tesouros pelo Oceano Índico no início dos anos 1400?","Zheng He, um almirante da dinastia Ming que liderou sete grandes expedições"
"Quem foi a primeira mulher a voar sozinha através do Oceano Atlântico em 1932?","Amelia Earhart, voando de Newfoundland para a Irlanda do Norte"
"Qual explorador descobriu a rota marítima ao redor da ponta sul da África em 1488?","Bartolomeu Dias, um navegador português que contornou o Cabo da Boa Esperança"
"Quem liderou a expedição que primeiro alcançou o cume do Monte Everest em 1953?","Edmund Hillary (Nova Zelândia) e Tenzing Norgay (Nepal/Tibete)"
"Qual explorador espanhol procurou a Fonte da Juventude e descobriu a Flórida em 1513?","Juan Ponce de León"
"Quem foi a primeira pessoa a alcançar o ponto mais profundo do oceano, a Fossa das Marianas, em 1960?","Jacques Piccard e Don Walsh, a bordo do batiscafo Trieste"
"Qual explorador viking acredita-se ter chegado à América do Norte por volta de 1000 d.C.?","Leif Erikson, que estabeleceu um assentamento em Vinland (provavelmente Newfoundland, Canadá)"
"Quem explorou o Rio Amazonas e foi o primeiro europeu a navegar toda a sua extensão em 1542?","Francisco de Orellana, um explorador espanhol"
"Qual explorador britânico procurou a nascente do Nilo e explorou o Lago Tanganica?","Richard Francis Burton e John Hanning Speke (décadas de 1850-1860)"
"Quem foi a primeira pessoa a velejar sozinha ao redor do mundo (1895-1898)?","Joshua Slocum, um marinheiro canadense-americano a bordo do Spray"
"Qual explorador mapeou grande parte do interior da África e foi famosamente 'encontrado' por Henry Morton Stanley?","David Livingstone, um missionário e explorador escocês ('Dr. Livingstone, eu suponho?')"
