"front","back"
"¿Qué género dominó las discotecas a finales de los años 1970?","Disco"
"¿Qué película de 1977 popularizó la música disco?","Fiebre del Sábado Noche"
"¿Quién cantó ""Stayin' Alive""?","Bee Gees"
"¿Qué banda fue pionera del rock progresivo con ""Bohemian Rhapsody""?","Queen"
"¿Quién era el cantante principal de Queen?","Freddie Mercury"
"¿Qué banda punk lanzó ""Anarchy in the U.K.""?","Sex Pistols"
"¿Qué club de Nueva York fue la cuna del punk rock?","CBGB"
"¿Quién era el cantante de los Ramones?","Joey Ramone"
"¿Qué artista de reggae lanzó ""Exodus"" en 1977?","Bob Marley"
"¿Cómo se llamaba la banda de Bob Marley?","The Wailers"
"¿Quién lanzó ""Hotel California""?","Eagles"
"¿Qué banda de rock lanzó ""Stairway to Heaven""?","Led Zeppelin"
"¿Quién era el guitarrista de Led Zeppelin?","Jimmy Page"
"¿Qué banda lanzó ""Dark Side of the Moon""?","Pink Floyd"
"¿Cuánto tiempo permaneció ""Dark Side of the Moon"" en las listas?","937 semanas"
"¿Quién cantó ""Imagine""?","John Lennon"
"¿A qué banda se unieron Stevie Nicks y Lindsey Buckingham?","Fleetwood Mac"
"¿Cuál fue el álbum más vendido de Fleetwood Mac?","Rumours (1977)"
"¿Quién lanzó ""Born to Run""?","Bruce Springsteen"
"¿Qué grupo disco cantó ""Y.M.C.A.""?","Village People"
"¿Quién era conocido como el ""Padrino del Punk""?","Iggy Pop"
"¿Qué banda británica cantó ""London Calling""?","The Clash"
"¿Quién lanzó ""What's Going On""?","Marvin Gaye"
"¿Quién era el ""Padrino del Soul""?","James Brown"
"¿Qué artista lanzó ""Thriller"" a finales de los 70?","""Michael Jackson (lanzado en 1982, pero Off the Wall fue en 1979)"""
"¿Quién lanzó ""Let's Stay Together""?","Al Green"
"¿Qué banda de funk lanzó ""Give Up the Funk""?","Parliament-Funkadelic"
"¿Quién era el líder de Parliament-Funkadelic?","George Clinton"
"¿Qué cantante lanzó ""Piano Man""?","Billy Joel"
"¿Qué banda australiana lanzó ""Highway to Hell""?","AC/DC"
