"front","back"
"¿Qué es el Estoicismo?","""Una filosofía griega antigua enfocada en la virtud, la razón y vivir de acuerdo con la naturaleza"""
"¿Quién fundó el Estoicismo?","Zenón de Citio"
"¿Cuál es el bien supremo en el Estoicismo?","La virtud"
"¿Cuáles son las cuatro virtudes cardinales estoicas?","Sabiduría, Valentía, Justicia, Templanza"
"¿Qué enseña el Estoicismo sobre las emociones?","Las emociones deben ser comprendidas y guiadas por la razón"
"¿Cuál es la visión estoica de la felicidad?","La felicidad viene de vivir virtuosamente, no de cosas externas"
"¿Qué son los externos en el Estoicismo?","Cosas fuera de nuestro control como riqueza, fama y salud"
"¿Qué es la Dicotomía del Control?","La idea de que algunas cosas están bajo nuestro control y otras no"
"¿Qué está bajo nuestro control según los Estoicos?","Nuestros juicios, elecciones y acciones"
"¿Qué no está bajo nuestro control según los Estoicos?","Eventos, acciones de otras personas y resultados"
"¿Quién fue Epicteto?","Un ex esclavo que se convirtió en un importante filósofo estoico"
"¿Cuál es la obra más famosa de Epicteto?","El Enquiridión (Manual)"
"¿Quién fue Marco Aurelio?","Un emperador romano y filósofo estoico"
"¿Qué libro escribió Marco Aurelio?","Meditaciones"
"¿Quién fue Séneca?","Un filósofo estoico romano, estadista y dramaturgo"
"¿De qué se ocupa la física estoica?","El orden racional del universo"
"¿Qué es el Logos en el Estoicismo?","El principio racional que gobierna el universo"
"¿Qué es vivir de acuerdo con la naturaleza?","Vivir en armonía con la razón y el orden natural"
"¿En qué se enfoca la ética estoica?","Cómo vivir una vida virtuosa"
"¿Para qué se usa la lógica estoica?","Razonamiento correcto y evitar juicios falsos"
"¿Qué es apatheia?","Libertad de pasiones destructivas"
"¿Qué es una pasión en el Estoicismo?","Una emoción excesiva o irracional"
"¿Qué es un indiferente preferido?","Algo no necesario para la virtud pero naturalmente deseado"
"Da ejemplos de indiferentes preferidos","Salud, riqueza, amistad"
"¿Qué son los indiferentes no preferidos?","Cosas naturalmente evitadas pero moralmente neutrales"
"¿Cuál es la visión estoica de la muerte?","La muerte no es ni buena ni mala"
"¿Cómo ven los Estoicos el dolor?","El dolor es externo y no es mal"
"¿Qué es la visualización negativa?","Imaginar pérdidas para apreciar lo que tienes"
"¿Qué es la incomodidad voluntaria?","Practicar dificultades para construir resiliencia"
"¿Cuál es la respuesta estoica al insulto?","Examinar el juicio en lugar de reaccionar emocionalmente"
"¿Qué es el destino en el Estoicismo?","Eventos determinados por el orden racional del universo"
"¿Qué es amor fati?","Amor al destino"
"¿Qué es el determinismo estoico?","La creencia de que los eventos ocurren según causa y efecto"
"¿Cómo ven los Estoicos el libre albedrío?","La libertad existe en nuestros juicios y respuestas"
"¿Cuál es el papel de la razón en el Estoicismo?","La razón guía la vida ética"
"¿Qué es oikeiosis?","El proceso de reconocer lo que es apropiado para uno mismo"
"¿Qué es el cosmopolitismo estoico?","La idea de que todos los humanos pertenecen a una comunidad"
"¿Cómo debe un Estoico tratar a los demás?","Con justicia, racionalidad y compasión"
"¿Qué es la humildad estoica?","Reconocer las limitaciones humanas"
"¿Qué es la valentía estoica?","Actuar correctamente a pesar del miedo"
"¿Qué es la templanza estoica?","Moderación y autocontrol"
"¿Qué es la justicia estoica?","Actuar justamente por el bien común"
"¿Qué es la sabiduría estoica?","Saber qué es bueno, malo e indiferente"
"¿Cuál es la visión estoica sobre la riqueza?","La riqueza es indiferente, no es fuente de virtud"
"¿Cuál es la visión estoica sobre la fama?","La fama está fuera de nuestro control y es indiferente"
"¿Cuál es la visión estoica sobre el placer?","El placer no es el bien supremo"
"¿Cuál es la persona ideal estoica?","El sabio"
"¿Qué es un sabio estoico?","Una persona perfectamente racional y virtuosa"
"¿Los Estoicos creían que los sabios existen?","Creían que los sabios son extremadamente raros"
"¿Qué es el progreso moral en el Estoicismo?","Mejora gradual hacia la virtud"
"¿Qué es la resiliencia estoica?","Mantener la virtud bajo adversidad"
"¿Qué es la disciplina del deseo estoica?","Alinear deseos con lo que está bajo nuestro control"
"¿Qué es la disciplina de la acción estoica?","Actuar ética y socialmente"
"¿Qué es la disciplina del asentimiento estoica?","Controlar juicios y creencias"
"¿Qué es el asentimiento estoico?","Acuerdo con una impresión"
"¿Qué son las impresiones?","Percepciones o pensamientos iniciales"
"¿Por qué son importantes las impresiones?","Influyen en emociones y acciones"
"¿Qué es la tranquilidad estoica?","Calma interior que viene de la vida racional"
"¿Qué es la simplicidad estoica?","Valorar lo que es necesario"
"¿Qué es la aceptación estoica?","Aceptar lo que no puede ser cambiado"
"¿Qué es la responsabilidad estoica?","Asumir las propias elecciones"
"¿Qué es el autodominio estoico?","Control sobre impulsos y deseos"
"¿Qué es la paciencia estoica?","Soportar dificultades sin quejarse"
"¿Qué es la gratitud estoica?","Apreciación sin apego"
"¿Qué es la atención plena estoica?","Consciencia de pensamientos y juicios"
"¿Qué es la práctica estoica?","Ejercicios diarios para entrenar la mente"
"¿Qué es el diario en el Estoicismo?","Reflexionar sobre acciones y pensamientos"
"¿Qué es la reflexión matutina?","Prepararse para los desafíos por venir"
"¿Qué es la reflexión nocturna?","Revisar las acciones del día"
"¿Qué es la amistad estoica?","Aliento mutuo hacia la virtud"
"¿Qué es el liderazgo estoico?","Liderar con razón y ejemplo"
"¿Qué es el legado estoico?","Vivir virtuosamente independientemente del reconocimiento"
"¿Cuál es el objetivo final estoico?","Una vida de virtud y libertad interior"
