"front","back"
"O que foi a Revolução Industrial?","Um período de grande industrialização e mudança tecnológica"
"Quando a Revolução Industrial começou?","Por volta de 1760"
"Quando a Revolução Industrial terminou?","Por volta de 1840"
"Onde a Revolução Industrial começou?","Grã-Bretanha"
"O que foi a Segunda Revolução Industrial?","Uma fase de rápida industrialização de 1870 a 1914"
"O que alimentou a Primeira Revolução Industrial?","Energia hidráulica e a vapor"
"O que alimentou a Segunda Revolução Industrial?","Eletricidade e petróleo"
"Quem inventou a spinning jenny?","James Hargreaves"
"Em que ano a spinning jenny foi inventada?","1764"
"O que a spinning jenny fazia?","Permitia que um trabalhador fiasse múltiplos fios ao mesmo tempo"
"Quem inventou a water frame?","Richard Arkwright"
"O que a water frame fazia?","Usava energia hidráulica para fiar fio de algodão"
"Quem inventou a spinning mule?","Samuel Crompton"
"O que a spinning mule combinava?","Características da spinning jenny e da water frame"
"Quem inventou o tear mecânico?","Edmund Cartwright"
"O que o tear mecânico fazia?","Mecanizou a tecelagem de tecidos"
"Quem inventou a máquina a vapor?","James Watt a aprimorou em 1769"
"O que James Watt adicionou à máquina a vapor?","Um condensador separado para eficiência"
"Quem inventou o descaroçador de algodão?","Eli Whitney"
"Em que ano o descaroçador de algodão foi inventado?","1793"
"O que o descaroçador de algodão fazia?","Separava fibras de algodão das sementes rapidamente"
"Quem inventou a locomotiva?","George Stephenson"
"Qual foi a primeira ferrovia pública?","Ferrovia Stockton e Darlington em 1825"
"O que era o Rocket?","A famosa locomotiva a vapor de George Stephenson"
"Quem inventou o telégrafo?","Samuel Morse"
"Em que ano o telégrafo foi patenteado?","1837"
"O que é o código Morse?","Um sistema de pontos e traços para comunicação telegráfica"
"Quem inventou o telefone?","Alexander Graham Bell"
"Em que ano o telefone foi inventado?","1876"
"Quem inventou a lâmpada?","Thomas Edison"
"Em que ano a lâmpada prática foi inventada?","1879"
"O que era o sistema fabril?","Produção centralizada usando máquinas e trabalhadores"
"O que substituiu o sistema doméstico?","O sistema fabril"
"O que era o sistema doméstico?","Produção de bens em casas à mão"
"Quem eram os luditas?","Trabalhadores que destruíam máquinas em protesto"
"Por que os luditas protestavam?","Medo de perder empregos para as máquinas"
"O que era urbanização?","Movimento de pessoas de áreas rurais para cidades"
"Qual cidade se tornou o centro da manufatura têxtil?","Manchester"
"Quais recursos naturais ajudaram a Grã-Bretanha a se industrializar?","Carvão e minério de ferro"
"Por que o carvão era importante?","Combustível para máquinas a vapor e produção de ferro"
"O que é fundição?","Extrair metal de minério usando calor"
"Quem desenvolveu o processo Bessemer?","Henry Bessemer"
"O que o processo Bessemer fazia?","Produzia aço em massa de forma barata"
"O que substituiu o ferro como principal metal industrial?","Aço"
"Para que os canais eram usados?","Transportar mercadorias pesadas como carvão"
"Quem construiu o Canal Bridgewater?","James Brindley para o Duque de Bridgewater"
"Qual era a importância das ferrovias?","Transporte mais rápido de mercadorias e pessoas"
"Como eram as condições de trabalho nas primeiras fábricas?","Longas horas e condições perigosas"
"Quantas horas os trabalhadores de fábrica tipicamente trabalhavam?","12 a 16 horas por dia"
"Crianças trabalhavam em fábricas?","Sim, muitas crianças trabalhavam em fábricas"
"O que eram asilos de pobres?","Instituições para pobres que não podiam se sustentar"
"O que era trabalho infantil?","Emprego de crianças em fábricas e minas"
"Qual lei limitou o trabalho infantil na Grã-Bretanha?","Lei Fabril de 1833"
"O que a Lei Fabril de 1833 fez?","Limitou as horas de trabalho para crianças"
"Qual era a idade mínima para trabalho em fábrica após 1833?","Nove anos"
"Quem eram os cartistas?","Um movimento exigindo reforma política para trabalhadores"
"O que os cartistas exigiam?","Sufrágio masculino universal e votação secreta"
"O que eram sindicatos?","Organizações de trabalhadores para melhorar condições"
"Os primeiros sindicatos eram legais?","Não, frequentemente eram ilegais"
"Qual lei legalizou os sindicatos na Grã-Bretanha?","Lei Sindical de 1871"
"O que era a classe média?","Uma nova classe social de proprietários de fábricas e profissionais"
"Como a Revolução Industrial afetou a população?","A população cresceu rapidamente"
"O que causou o crescimento populacional?","Melhor fornecimento de alimentos e avanços médicos"
"O que eram favelas?","Habitações urbanas superlotadas e insalubres"
"Quais doenças se espalharam nas cidades industriais?","Cólera e tifo"
"O que era a economia de laissez-faire?","O governo não deve interferir nos negócios"
"Quem promoveu a economia de laissez-faire?","Adam Smith"
"Qual livro Adam Smith escreveu?","A Riqueza das Nações"
"O que é capitalismo?","Um sistema econômico baseado em propriedade privada e lucro"
"O que é socialismo?","Um sistema econômico que defende propriedade compartilhada"
"Quem escreveu O Manifesto Comunista?","Karl Marx e Friedrich Engels"
"O que Karl Marx criticava?","Exploração de trabalhadores sob o capitalismo"
