"front","back"
"¿Qué puente, completado en 1937, cruza el estrecho Golden Gate en San Francisco?","Golden Gate Bridge — puente colgante de 2.737m diseñado por Joseph Strauss, icónico por su color International Orange"
"¿Cuál es el puente más largo del mundo en longitud total?","Puente Danyang–Kunshan en China (164,8 km), parte del tren de alta velocidad Pekín–Shanghái, completado en 2010"
"¿Qué puente medieval en Praga, flanqueado por 30 estatuas barrocas, cruza el río Moldava?","Puente de Carlos (Karlův most), construido entre 1357 y 1402 bajo el rey Carlos IV"
"¿Qué famoso puente en Sídney, Australia, es apodado 'The Coathanger' (La Percha)?","Sydney Harbour Bridge — puente de arco de acero inaugurado en 1932, el puente de arco de acero más ancho del mundo"
"¿Qué puente en Londres puede elevarse para permitir el paso de barcos?","Tower Bridge — puente basculante y colgante inaugurado en 1894, a menudo confundido con el London Bridge"
"¿Qué antiguo acueducto romano en el sur de Francia tiene tres niveles de arcos?","Pont du Gard — construido en el siglo I d.C. cerca de Nimes, de 49m de altura, Patrimonio de la Humanidad de la UNESCO"
"¿Qué puente colgante en Nueva York, completado en 1883, fue el primer puente colgante con cables de acero?","Puente de Brooklyn — diseñado por John Augustus Roebling, conectando Manhattan y Brooklyn sobre el East River"
"¿Cuál es el puente más famoso de Venecia que cruza el Gran Canal?","Puente de Rialto — construido entre 1588 y 1591, fue el primer puente de piedra sobre el Gran Canal de Venecia"
"¿Qué puente japonés, reconstruido cada 20 años, conduce al Gran Santuario de Ise?","Puente Uji (Ujibashi) en el Gran Santuario de Ise — puente de madera de 101,8m que simboliza la transición de lo cotidiano a lo sagrado"
"¿Cuál es el puente más alto del mundo en altura del tablero?","Puente Beipanjiang en China — 565m sobre el río Beipan en la provincia de Guizhou, inaugurado en 2016"
"¿Qué tipo de puente cubierto usa un patrón de celosía y es común en Nueva Inglaterra?","Celosía Town — patentada por Ithiel Town en 1820, usando tablones diagonales en patrón cruzado"
"¿Qué famoso puente en Estambul conecta Europa y Asia?","El Puente del Bósforo (ahora Puente de los Mártires del 15 de Julio), inaugurado en 1973, fue el primer puente sobre el estrecho del Bósforo"
"¿Qué puente en Mostar, Bosnia, fue destruido en 1993 y reconstruido en 2004?","Stari Most (Puente Viejo) — puente otomano del siglo XVI sobre el río Neretva, Patrimonio de la Humanidad de la UNESCO"
"¿Qué tipo de puente usa cables sujetos directamente a las torres para sostener el tablero?","Puente atirantado — diferente de los puentes colgantes donde los cables cuelgan de un cable principal entre las torres"
"¿Qué puente en la Bahía de San Francisco reemplazó una sección que colapsó en el terremoto de 1989?","El tramo este del Bay Bridge San Francisco–Oakland, reemplazado por un nuevo tramo suspendido autoanclado inaugurado en 2013"
"¿Qué famoso puente natural en Virginia, EE.UU., perteneció a Thomas Jefferson?","Natural Bridge — arco de piedra caliza de 66m tallado por Cedar Creek, comprado por Jefferson en 1774"
"¿Qué puente en Portugal lleva el nombre de una fecha y cruza el río Tajo en Lisboa?","Ponte 25 de Abril — nombrado por la Revolución de los Claveles del 25 de abril de 1974; inaugurado en 1966, se asemeja al Golden Gate Bridge"
"¿Qué es un viaducto?","Una estructura larga similar a un puente que transporta carretera o ferrocarril sobre un valle, con múltiples tramos apoyados en arcos o pilares"
"¿Qué viaducto francés, diseñado por Norman Foster, es la estructura de puente más alta del mundo?","Viaducto de Millau — 343m de altura (más alto que la Torre Eiffel), cruzando el valle del río Tarn en el sur de Francia, inaugurado en 2004"
"¿Qué famoso puente en Florencia, Italia, tiene tiendas construidas a ambos lados?","Ponte Vecchio — puente medieval de arco de piedra sobre el río Arno, famoso por sus joyerías; reconstruido tras la inundación de 1345"
"¿Qué puente conecta Dinamarca y Suecia a través del estrecho de Øresund?","Puente de Øresund — puente-túnel de carretera y ferrocarril inaugurado en 2000, 7,8 km de largo, conectando Copenhague y Malmö"
"¿Qué tipo de puente gira o se eleva para permitir el paso de embarcaciones?","Puente móvil — tipos incluyen basculante, giratorio, de elevación vertical y retráctil"
"¿Qué puente icónico en los Cayos de Florida fue construido por el ferrocarril de Henry Flagler?","Seven Mile Bridge — el original era parte del Overseas Railroad (1912); un puente moderno de carretera corre paralelo (1982)"
"¿Qué técnica antigua de puente usa un arco semicircular hecho de piedras en cuña?","Construcción de puente en arco romano — usando dovelas (piedras en cuña) con clave en la parte superior, permitiendo tramos más amplios que las vigas"
"¿Qué puente en India, hecho de raíces vivas, es cultivado por el pueblo Khasi?","Los puentes de raíces vivas de Meghalaya — hechos de raíces aéreas de Ficus elastica, algunos con más de 500 años"
"¿Qué puente en China, construido durante la Dinastía Sui, es el puente de arco de tímpano abierto más antiguo del mundo?","Puente Anji (Puente Zhaozhou) — construido alrededor del 605 d.C. por Li Chun, con un tramo de 50,82m y un arco notablemente plano"
"¿Qué famoso puente cruza el río Kwai en Tailandia?","El Puente sobre el Río Kwai en Kanchanaburi — parte del Ferrocarril de Birmania construido por prisioneros de guerra en la Segunda Guerra Mundial (1943)"
"¿Qué innovación de ingeniería permite que el Puente Akashi Kaikyo resista terremotos y tifones?","Sistema de péndulos en cada torre y amortiguadores de masa sintonizados; es el puente colgante más largo del mundo con 3.911m de tramo principal (inaugurado en 1998)"
"¿Qué puente peatonal en Londres se balanceó tanto el día de su inauguración que fue cerrado temporalmente?","Millennium Bridge — inaugurado en junio de 2000, cerrado tras 2 días por oscilación lateral, reabierto en 2002 con amortiguadores instalados"
"¿Qué puente en Argentina y Uruguay cruza el estuario del Río de la Plata?","No existe puente sobre el Río de la Plata; un puente Colonia–Buenos Aires ha sido propuesto pero nunca construido. El estuario se cruza en ferry."
"¿Qué desastre de puente en EE.UU. en 1940 se convirtió en un famoso ejemplo de resonancia en ingeniería?","El colapso del Puente Tacoma Narrows ('Galloping Gertie') — el puente osciló con el viento y colapsó el 7 de noviembre de 1940, en el estado de Washington"
