"front","back"
"O que é uma célula?","A unidade estrutural e funcional básica de todos os organismos vivos"
"Quais são os dois principais tipos de células?","Procariontes (sem núcleo) e eucariontes (com núcleo)"
"O que é DNA?","Ácido desoxirribonucleico - a molécula que carrega informação genética"
"O que é RNA?","Ácido ribonucleico - ajuda a traduzir o DNA em proteínas"
"O que é a mitocôndria?","A organela que produz ATP (energia) para a célula - a ""usina de energia"""
"O que é fotossíntese?","O processo pelo qual as plantas convertem energia luminosa em energia química (glicose)"
"O que é respiração celular?","O processo de quebra da glicose para produzir energia ATP"
"O que é ATP?","Trifosfato de adenosina - a principal moeda energética das células"
"O que é mitose?","Divisão celular que produz duas células-filhas idênticas"
"O que é meiose?","Divisão celular que produz quatro células sexuais (gametas) geneticamente diferentes"
"O que é um cromossomo?","Uma estrutura de DNA e proteínas contendo informação genética"
"O que é um gene?","Um segmento de DNA que codifica uma proteína ou característica específica"
"O que é um alelo?","Diferentes versões do mesmo gene"
"Qual é a diferença entre genótipo e fenótipo?","Genótipo é a composição genética; fenótipo são as características observáveis"
"O que é seleção natural?","O processo onde organismos com características favoráveis sobrevivem e se reproduzem mais"
"O que é evolução?","Mudança nas características hereditárias de populações ao longo de gerações"
"O que é taxonomia?","A ciência de classificar e nomear organismos"
"Quais são os domínios da vida?","Bacteria, Archaea e Eukarya"
"O que é homeostase?","A manutenção de condições internas estáveis em um organismo"
"O que é o dogma central da biologia molecular?","DNA → RNA → Proteína (fluxo de informação genética)"
"O que é uma enzima?","Uma proteína que catalisa (acelera) reações bioquímicas"
"Do que é feita a membrana celular?","Uma bicamada fosfolipídica com proteínas incorporadas"
"O que é osmose?","O movimento de água através de uma membrana semipermeável"
"Qual é a diferença entre respiração aeróbica e anaeróbica?","Aeróbica requer oxigênio; anaeróbica não requer"
"Quais são os quatro principais tipos de macromoléculas biológicas?","Carboidratos, lipídios, proteínas e ácidos nucleicos"
"O que é CRISPR?","Uma tecnologia de edição genética que pode modificar sequências de DNA"
"O que é biodiversidade?","A variedade de formas de vida em um ecossistema ou na Terra"
"O que é um ecossistema?","Uma comunidade de organismos interagindo com seu ambiente físico"
"O que é o ciclo do nitrogênio?","A circulação de nitrogênio através da atmosfera, solo e organismos vivos"
"O que é uma mutação?","Uma mudança na sequência de DNA"
