"front","back"
"What is the largest organ in the human body?","The skin, which covers about 1.7 square meters in adults"
"How many bones does an adult human body have?","206 bones"
"What is the smallest bone in the human body?","The stapes (stirrup bone) in the middle ear"
"What is the largest bone in the human body?","The femur (thigh bone)"
"What organ produces insulin?","The pancreas, specifically the beta cells in the islets of Langerhans"
"What are the four chambers of the heart?","Left atrium, right atrium, left ventricle, right ventricle"
"What is the function of red blood cells?","To carry oxygen from the lungs to body tissues and return carbon dioxide to the lungs"
"How many liters of blood does the average adult have?","About 5 liters (1.3 gallons)"
"What is the longest muscle in the human body?","The sartorius muscle, running from the hip to the knee"
"What are the three types of muscle tissue?","Skeletal, smooth, and cardiac muscle"
"What is the function of the cerebellum?","Coordination of movement, balance, and fine motor control"
"What organ filters blood and removes old red blood cells?","The spleen"
"What is the function of the lymphatic system?","To drain excess fluid from tissues, transport fats, and support immune defense"
"How many pairs of ribs does a human have?","12 pairs (24 ribs total)"
"What is the cornea?","The transparent front layer of the eye that helps focus light"
"What is the function of the liver?","Detoxification, protein synthesis, bile production, and metabolism regulation"
"What are the two main divisions of the nervous system?","The central nervous system (brain and spinal cord) and the peripheral nervous system"
"What is the trachea?","The windpipe — a tube connecting the larynx to the bronchi, carrying air to the lungs"
"How many lobes does the right lung have?","Three lobes (the left lung has two)"
"What is the diaphragm?","A dome-shaped muscle below the lungs that contracts to draw air in during breathing"
"What is the function of platelets?","To help blood clot and stop bleeding at wound sites"
"What is the appendix attached to?","The cecum, which is the beginning of the large intestine"
"What is the hypothalamus responsible for?","Regulating body temperature, hunger, thirst, sleep, and hormone release"
"What is the role of the kidneys?","Filtering blood to remove waste, balancing electrolytes, and producing urine"
"What connects muscles to bones?","Tendons"
"What connects bones to other bones?","Ligaments"
"What is the largest artery in the body?","The aorta"
"How many vertebrae make up the human spine?","33 vertebrae (7 cervical, 12 thoracic, 5 lumbar, 5 sacral fused, 4 coccygeal fused)"
"What is the function of the gallbladder?","To store and concentrate bile produced by the liver for fat digestion"
"What are the three layers of the skin?","Epidermis (outer), dermis (middle), and hypodermis (subcutaneous layer)"
