"front","back"
"¿Quién inventó el baloncesto?","James Naismith en 1891 en Springfield, Massachusetts"
"¿Cuántos jugadores están en la cancha por equipo?","5 jugadores"
"¿Cuáles son las dimensiones de una cancha de baloncesto de la NBA?","28,7 m de largo por 15,2 m de ancho"
"¿Cuál es la altura de un aro de baloncesto reglamentario?","3,05 metros"
"¿Cuántos puntos vale un tiro desde más allá del arco?","3 puntos"
"¿Cuántos puntos vale un tiro libre?","1 punto"
"¿Cuánto dura un partido de la NBA?","48 minutos (cuatro cuartos de 12 minutos)"
"¿Cuánto tiempo dura el reloj de posesión en la NBA?","24 segundos"
"¿Quién ha ganado más campeonatos de la NBA como jugador?","Bill Russell con 11 campeonatos"
"¿Quién es el máximo anotador de todos los tiempos de la NBA?","LeBron James"
"¿Quién tiene más premios MVP en la historia de la NBA?","Kareem Abdul-Jabbar con 6 MVPs"
"¿Qué equipo ha ganado más campeonatos de la NBA?","Boston Celtics (18 campeonatos)"
"¿Quién es Michael Jordan?","Considerado por muchos el mejor jugador de baloncesto, 6 títulos de la NBA, 5 MVPs con los Chicago Bulls"
"¿Qué es un triple-doble?","Cuando un jugador registra dos dígitos en tres categorías estadísticas en un partido"
"¿Qué es la Lotería del Draft de la NBA?","Sistema para determinar el orden del draft para equipos que no llegaron a los playoffs"
"¿Qué es March Madness?","El torneo de baloncesto de la NCAA División I celebrado cada marzo"
"¿Qué es una clavada?","Anotar saltando y metiendo el balón directamente por el aro"
"¿Qué es la zona o pintura?","El área rectangular cerca de la canasta, también llamada el poste"
"¿Qué es un pick and roll?","Jugada ofensiva donde un jugador hace un bloqueo y luego se mueve hacia la canasta"
"¿Quién fue el primer jugador de la NBA en anotar 100 puntos en un partido?","Wilt Chamberlain (2 de marzo de 1962)"
"¿Qué es la WNBA?","Women's National Basketball Association, fundada en 1996"
"¿Qué significa caminar en baloncesto?","Moverse ilegalmente con el balón sin botar"
"¿Qué es doble dribling?","Botar ilegalmente con ambas manos o parar y volver a empezar un bote"
"¿Quién es el Dream Team?","El equipo olímpico de baloncesto de EE.UU. de 1992 con estrellas de la NBA como Jordan, Bird y Magic"
"¿Qué es la EuroLeague?","La principal competición profesional de baloncesto europeo"
"¿Quién ha ganado más campeonatos de la WNBA?","Houston Comets y Seattle Storm (4 campeonatos cada uno)"
"¿Qué es una falta flagrante?","Una falta grave que involucra contacto excesivo o violento"
"¿Qué es el arco de área restringida?","Un semicírculo debajo de la canasta donde los defensores no pueden recibir faltas en ataque"
"¿Quién tiene el récord de más puntos en un solo partido de la NBA?","Wilt Chamberlain con 100 puntos"
"¿Qué es un sexto hombre?","El mejor jugador suplente de un equipo que sale del banquillo"
