front,back
¿Cuáles son los cuatro torneos de Grand Slam?,Australian Open, Roland Garros, Wimbledon, US Open
¿Qué Grand Slam se juega en hierba?,Wimbledon
¿Qué Grand Slam se juega en tierra batida?,Roland Garros
¿En qué superficie se juega el Australian Open?,Pista dura
¿En qué superficie se juega el US Open?,Pista dura
¿Qué es un Grand Slam en tenis?,Ganar los cuatro torneos principales en un año calendario
¿Quién ha ganado más títulos de Grand Slam en individual masculino?,Novak Djokovic con 24 títulos
¿Quién ha ganado más títulos de Grand Slam en individual femenino?,Margaret Court con 24 títulos (Era Abierta: Serena Williams con 23)
¿Cuál es la secuencia de puntuación en tenis?,Love (0), 15, 30, 40, juego
¿Qué es deuce?,Cuando ambos jugadores tienen 40 puntos (40-40)
¿Qué es ventaja en tenis?,El punto después del deuce; el siguiente punto gana el juego
¿Qué es un set en tenis?,Una unidad de puntuación, típicamente ganada por el primer jugador en ganar 6 juegos con 2 juegos de ventaja
¿Qué es un tiebreak?,Un juego especial jugado en 6-6 para decidir un set, primero en llegar a 7 puntos con 2 puntos de ventaja
¿Qué es un ace?,Un saque que el oponente no puede tocar
¿Qué es una doble falta?,Dos faltas consecutivas de saque, resultando en pérdida de punto
¿Qué es una rotura de saque?,Ganar un juego cuando el oponente está sacando
¿Qué es una volea?,Golpear la pelota antes de que bote
¿Qué es un golpe de fondo?,Un derecho o revés golpeado después de que la pelota bota
¿Qué es la línea de fondo?,La línea trasera en cada extremo de la pista
¿Qué es la tierra de nadie en tenis?,El área entre la línea de fondo y la línea de saque, considerada una posición débil
¿Quién es Roger Federer?,Jugador suizo, 20 títulos de Grand Slam, considerado uno de los mejores de todos los tiempos
¿Quién es Rafael Nadal?,Jugador español, 22 títulos de Grand Slam, dominante en tierra batida
¿Quién es Serena Williams?,Jugadora estadounidense, 23 títulos de Grand Slam en individual en la Era Abierta
¿Qué es la Copa Davis?,Competición anual internacional por equipos en tenis masculino
¿Qué es la Fed Cup (Billie Jean King Cup)?,Competición anual internacional por equipos en tenis femenino
¿Qué es un let en tenis?,Un saque que toca la red pero cae en el área correcta; el saque se repite
¿Qué es punto de partido?,Un punto que, si se gana, termina el partido a favor del jugador que va ganando
¿Qué es la ATP?,Asociación de Tenistas Profesionales, organismo rector del tenis masculino profesional
¿Qué es la WTA?,Asociación de Tenis Femenino, organismo rector del tenis femenino profesional
¿Qué significa cabeza de serie en tenis?,Clasificar a los jugadores en un torneo para evitar que los mejores se encuentren en las primeras rondas
