"front","back"
"Who was the first human in space?","Yuri Gagarin (Soviet Union) on April 12, 1961"
"What was the first artificial satellite launched into space?","Sputnik 1 (Soviet Union) on October 4, 1957"
"Who was the first American in space?","Alan Shepard on May 5, 1961"
"Who was the first woman in space?","Valentina Tereshkova (Soviet Union) on June 16, 1963"
"What Apollo mission first landed humans on the Moon?","Apollo 11 on July 20, 1969"
"Who was the first person to walk on the Moon?","Neil Armstrong"
"What were the first words spoken on the Moon?","""That's one small step for man, one giant leap for mankind"""
"Who was the second person to walk on the Moon?","Buzz Aldrin"
"What was the name of the Apollo 11 lunar module?","Eagle"
"What space station was the first modular space station in orbit?","Mir (Soviet/Russian) launched in 1986"
"When was the International Space Station (ISS) first launched?","November 20, 1998"
"What was the first reusable spacecraft?","Space Shuttle Columbia (first flight April 12, 1981)"
"What Space Shuttle disaster occurred in 1986?","Challenger disaster (January 28, 1986)"
"What Space Shuttle disaster occurred in 2003?","Columbia disaster (February 1, 2003)"
"What probe first flew by Jupiter and Saturn?","Pioneer 10 (Jupiter) and Pioneer 11 (Jupiter and Saturn)"
"What are the names of the twin spacecraft launched in 1977 to explore the outer planets?","Voyager 1 and Voyager 2"
"Which spacecraft is the farthest human-made object from Earth?","Voyager 1"
"What was the first Mars rover to successfully operate on Mars?","Sojourner (1997, part of Mars Pathfinder mission)"
"What are the names of NASA's twin Mars rovers launched in 2003?","Spirit and Opportunity"
"What Mars rover landed in 2012 and is still operating?","Curiosity"
"What Mars rover landed in 2021?","Perseverance"
"What helicopter made the first powered flight on another planet?","Ingenuity (Mars, 2021)"
"Who was the first person to perform a spacewalk (EVA)?","Alexei Leonov (Soviet Union) on March 18, 1965"
"What does NASA stand for?","National Aeronautics and Space Administration"
"What is ESA?","European Space Agency"
"What is the name of the Chinese space station?","Tiangong (Chinese Space Station)"
"Who founded SpaceX?","Elon Musk in 2002"
"What was the first privately developed rocket to reach orbit?","Falcon 1 by SpaceX (2008)"
"What reusable rocket system does SpaceX use?","Falcon 9 (with reusable first stage)"
"What is the name of SpaceX's crewed spacecraft?","Dragon (Crew Dragon for astronauts)"
"What was the Hubble Space Telescope launched by?","Space Shuttle Discovery on April 24, 1990"
"What space telescope launched in 2021 as Hubble's successor?","James Webb Space Telescope"
"What probe orbited Saturn from 2004 to 2017?","Cassini"
"What probe landed on Saturn's moon Titan in 2005?","Huygens"
"What mission returned asteroid samples to Earth in 2020?","Hayabusa2 (Japanese) from asteroid Ryugu"
