"front","back"
"What does CIA stand for in cybersecurity?","Confidentiality, Integrity, and Availability — the three core security principles"
"What is phishing?","A social engineering attack where criminals trick users into revealing sensitive information through fake messages or websites"
"What is multi-factor authentication (MFA)?","A login method requiring two or more verification factors, such as password plus phone code"
"What is the main purpose of a firewall?","To monitor and filter network traffic based on security rules, blocking unauthorized access"
"What is malware?","Malicious software designed to damage systems, steal data, or disrupt operations"
"What is ransomware?","A type of malware that encrypts files and demands payment for decryption"
"What does VPN stand for?","Virtual Private Network — an encrypted tunnel that protects data in transit"
"What is patch management?","The process of updating software to fix vulnerabilities and improve security"
"What is a zero-day vulnerability?","A software flaw unknown to the vendor or without an available patch at the time of discovery or attack"
"What is the principle of least privilege?","Giving users and systems only the minimum access needed to perform their tasks"
"What is encryption?","The process of converting readable data into coded text so only authorized parties can read it"
"What is the difference between a vulnerability and a threat?","A vulnerability is a weakness; a threat is a potential event or actor that can exploit that weakness"
"What is social engineering?","Psychological manipulation of people to make them reveal confidential information or perform unsafe actions"
"What is a brute-force attack?","An attack that tries many password combinations until the correct one is found"
"What is a password manager?","A tool that securely stores and generates strong, unique passwords"
"What is endpoint protection?","Security controls installed on devices like laptops and phones to detect and block threats"
"What is a DDoS attack?","Distributed Denial-of-Service — overwhelming a service with traffic from many sources to make it unavailable"
"What is a security incident?","An event that actually compromises or threatens confidentiality, integrity, or availability"
"What is an IDS?","Intrusion Detection System — a tool that monitors traffic and alerts on suspicious activity"
"What is an IPS?","Intrusion Prevention System — a tool that detects and actively blocks malicious traffic"
"What is data exfiltration?","Unauthorized transfer of data out of an organization"
"What is the purpose of a security awareness training program?","To teach people how to recognize and avoid cyber threats like phishing and unsafe behavior"
"What is a backup in cybersecurity context?","A secure copy of data used to restore systems after loss, corruption, or attack"
"Why are offline backups important against ransomware?","Because backups disconnected from the network are harder for ransomware to encrypt or delete"
"What is network segmentation?","Dividing a network into smaller zones to limit attacker movement and contain breaches"
"What does SIEM stand for?","Security Information and Event Management — centralized collection and analysis of security logs"
"What is an insider threat?","A risk caused by someone within the organization, whether malicious or negligent"
"What is token-based authentication?","A method where systems issue a temporary digital token after login to verify identity"
"What is a security policy?","A documented set of rules and procedures for protecting systems and data"
"What is incident response?","A structured process to detect, contain, eradicate, recover from, and learn from security incidents"
