"front","back"
"What is the most active volcano on Earth?","Kīlauea in Hawaii, USA — it has been erupting almost continuously since 1983"
"Which volcanic eruption buried the Roman city of Pompeii in 79 AD?","Mount Vesuvius, located near Naples, Italy"
"What is the Ring of Fire?","A 40,000 km horseshoe-shaped zone around the Pacific Ocean where about 75% of the world's volcanoes are found"
"Which volcano's 1883 eruption was heard 4,800 km away?","Krakatoa (Krakatau) in Indonesia — one of the loudest sounds in recorded history"
"What is a caldera?","A large volcanic crater formed when a volcano collapses into the magma chamber after an eruption"
"Which supervolcano lies beneath Yellowstone National Park?","The Yellowstone Caldera, with its last major eruption about 640,000 years ago"
"What type of volcano is Mount Fuji?","A stratovolcano (composite volcano) — Japan's highest peak at 3,776 meters"
"Which 1980 eruption in the US caused the largest landslide in recorded history?","Mount St. Helens in Washington State — its north face collapsed in a massive debris avalanche"
"What is the difference between magma and lava?","Magma is molten rock beneath the Earth's surface; lava is magma that has reached the surface"
"Which volcanic island emerged from the sea near Iceland in 1963?","Surtsey — it formed during an eruption that lasted until 1967 and is now a UNESCO site"
"What is a lahar?","A destructive mudflow of volcanic debris and water that races down a volcano's slopes"
"Which volcano is known as the 'Lighthouse of the Mediterranean'?","Stromboli, in Italy — it has been erupting almost continuously for over 2,000 years"
"What caused the 'Year Without a Summer' in 1816?","The 1815 eruption of Mount Tambora in Indonesia — the most powerful eruption in recorded history (VEI 7)"
"What does VEI stand for in volcanology?","Volcanic Explosivity Index — a scale from 0 to 8 measuring the explosive power of eruptions"
"Which African volcano is the tallest freestanding mountain in the world?","Mount Kilimanjaro in Tanzania (5,895 m) — a dormant stratovolcano with three cones"
"What is a shield volcano?","A broad, gently sloping volcano built by fluid lava flows — like Mauna Loa in Hawaii"
"Which volcano destroyed the Minoan civilization around 1600 BC?","The eruption of Thera (Santorini) in Greece — possibly inspiring the legend of Atlantis"
"What is pyroclastic flow?","A fast-moving current of hot gas, ash, and rock fragments that races down a volcano at up to 700 km/h"
"Which country has the most active volcanoes?","Indonesia, with about 130 active volcanoes along its archipelago"
"What is the largest volcano in our solar system?","Olympus Mons on Mars — about 21.9 km high and 600 km in diameter"
"What is a volcanic hotspot?","A location where magma rises from deep within the Earth's mantle, independent of tectonic plate boundaries (e.g., Hawaii)"
"Which Icelandic volcano disrupted European air travel in 2010?","Eyjafjallajökull — its ash cloud grounded flights across Europe for weeks"
"What are the three main types of volcanoes?","Shield volcanoes, stratovolcanoes (composite), and cinder cone volcanoes"
"What is volcanic tuff?","A type of rock formed from consolidated volcanic ash and other pyroclastic materials"
"Which volcano in the Philippines erupted catastrophically in 1991?","Mount Pinatubo — it lowered global temperatures by about 0.5°C for two years"
"What is a fumarole?","An opening in the Earth's surface that emits steam and volcanic gases"
"What is the most volcanically active body in our solar system?","Jupiter's moon Io, with over 400 active volcanoes"
"Which volcano in Ecuador holds the record for the point farthest from Earth's center?","Chimborazo (6,263 m) — due to the equatorial bulge, its summit is farther from Earth's center than Everest"
"What is obsidian?","A natural volcanic glass formed when lava cools very rapidly with minimal crystal growth"
"What is a maar?","A broad, low-relief volcanic crater formed by a phreatomagmatic eruption (magma meeting groundwater)"
