"front","back"
"What is demography?","The statistical study of human populations including size, structure, and distribution"
"What is the current world population (approximate)?","About 8 billion people (as of 2024)"
"What is the fertility rate?","The average number of children born to a woman over her lifetime"
"What replacement-level fertility rate is needed to maintain population?","Approximately 2.1 children per woman"
"What is the demographic transition model?","A model showing how populations shift from high birth/death rates to low birth/death rates as countries develop"
"What is life expectancy?","The average number of years a person is expected to live based on current mortality rates"
"Which continent has the highest population growth rate?","Africa"
"What is the dependency ratio?","The ratio of non-working age population (young and old) to working-age population"
"What is urbanization?","The increasing proportion of a population living in urban areas"
"What percentage of the world population lives in urban areas?","Over 55% (and increasing)"
"What is a population pyramid?","A graphical representation showing the age and sex distribution of a population"
"What is net migration?","The difference between immigration (in) and emigration (out) of an area"
"What is the median age of the world population?","About 30 years"
"Which country has the oldest median age?","Monaco (approximately 55 years)"
"Which country has the youngest median age?","Niger (approximately 15 years)"
"What is the infant mortality rate?","The number of deaths of infants under one year per 1,000 live births"
"What is a census?","An official count of a population typically including demographic information"
"What is the crude birth rate?","The number of live births per 1,000 people per year"
"What is the crude death rate?","The number of deaths per 1,000 people per year"
"What is natural increase?","The birth rate minus the death rate (excluding migration)"
"What is the most spoken native language?","Mandarin Chinese (about 920 million native speakers)"
"What is the most spoken language overall (including second language speakers)?","English (approximately 1.5 billion speakers)"
"What is population density?","The number of people per unit of area (usually per km² or per square mile)"
"What is the demographic dividend?","Economic growth potential from changes in age structure when working-age population exceeds dependents"
"What is an aging population?","A population with an increasing proportion of elderly people"
"What is the sex ratio?","The ratio of males to females in a population"
"What is internal migration?","Movement of people within a country's borders"
"What is brain drain?","Emigration of highly skilled or educated individuals from a country"
"What is carrying capacity?","The maximum population size an environment can sustain indefinitely"
"What causes demographic momentum?","Large young populations that will have children even if fertility rates drop"
