"front","back"
"What years did World War II take place?","1939–1945"
"Which event is considered the start of World War II?","Germany's invasion of Poland in 1939"
"Which countries made up the Axis Powers?","Germany, Italy, and Japan"
"Which countries made up the main Allied Powers?","United States, Soviet Union, United Kingdom, France"
"Who was the leader of Nazi Germany?","Adolf Hitler"
"What was the political ideology of Nazi Germany?","Fascism and Nazism"
"What treaty officially ended World War I?","Treaty of Versailles"
"Why was the Treaty of Versailles significant to WWII?","It imposed harsh penalties on Germany"
"What was Blitzkrieg?","A fast military tactic using tanks and aircraft"
"Which country was invaded first by Germany in WWII?","Poland"
"What was the Phoney War?","A period of little fighting early in WWII"
"Which battle marked the fall of France?","Battle of France 1940"
"What government replaced France after its defeat?","Vichy France"
"Which operation was Germany’s invasion of the Soviet Union?","Operation Barbarossa"
"In what year did Germany invade the Soviet Union?","1941"
"What was the largest land battle of WWII?","Battle of Stalingrad"
"Why was the Battle of Stalingrad important?","It marked a turning point against Germany"
"Who led the Soviet Union during WWII?","Joseph Stalin"
"What was the Eastern Front?","The conflict between Germany and the Soviet Union"
"What event brought the United States into WWII?","Attack on Pearl Harbor"
"When was Pearl Harbor attacked?","December 7 1941"
"Which country attacked Pearl Harbor?","Japan"
"What was the goal of the Japanese attack on Pearl Harbor?","To weaken the US Pacific Fleet"
"What was D-Day?","The Allied invasion of Normandy"
"When did D-Day occur?","June 6, 1944"
"What was Operation Overlord?","The Allied invasion of Western Europe"
"Which beaches were part of D-Day?","Omaha, Utah, Gold, Juno, Sword"
"Who was the US president for most of WWII?","Franklin D Roosevelt"
"What was the Manhattan Project?","The program to develop atomic bombs"
"Which cities were hit by atomic bombs?","Hiroshima and Nagasaki"
"When were atomic bombs dropped on Japan?","August 1945"
"Why were atomic bombs used?","To force Japan to surrender"
"When did Germany surrender?","May 7 1945"
"When did Japan surrender?","September 2 1945"
"What was VE Day?","Victory in Europe Day"
"What was VJ Day?","Victory over Japan Day"
"What was the Holocaust?","The genocide of six million Jews"
"Who carried out the Holocaust?","Nazi Germany"
"What were concentration camps?","Camps used for imprisonment and extermination"
"Name a major concentration camp","Auschwitz"
"What group besides Jews were persecuted by Nazis?","Roma disabled political opponents"
"What was the SS?","A Nazi paramilitary organization"
"What was the Gestapo?","The Nazi secret police"
"Who was Winston Churchill?","Prime Minister of the United Kingdom"
"What role did women play in WWII?","Factory work nursing military support"
"What was rationing?","Limiting civilian consumption of goods"
"What was propaganda used for?","To influence public opinion"
"What was the Battle of Britain?","Air battle between Germany and the UK"
"Why did Germany fail in the Battle of Britain?","Strong RAF defense and radar"
"What was the Luftwaffe?","German air force"
"What was the RAF?","Royal Air Force"
"What was the Atlantic Charter?","Allied goals for the postwar world"
"What was Lend-Lease?","US aid to Allied countries"
"What was the Warsaw Ghetto?","A sealed Jewish district in Poland"
"What was the purpose of internment camps in the US?","Detaining Japanese Americans"
"What was the Nuremberg Trials?","Trials of Nazi leaders for war crimes"
"What is a war crime?","Violations of laws of war"
"What organization was formed after WWII?","United Nations"
"Why was the UN created?","To promote peace and cooperation"
"What was the Cold War?","Postwar tension between US and USSR"
"Which country suffered the most casualties?","Soviet Union"
"What was the Iron Curtain?","Division between Eastern and Western Europe"
"What technological advances came from WWII?","Radar rockets nuclear energy"
"What was Operation Torch?","Allied invasion of North Africa"
"Who was Benito Mussolini?","Leader of Fascist Italy"
"When did Italy switch sides?","1943"
"What was the Battle of Midway?","A major US naval victory over Japan"
"Why was Midway significant?","It shifted power in the Pacific"
"What was island hopping?","Allied strategy in the Pacific"
"What was kamikaze?","Japanese suicide attacks"
"What ended World War II?","Surrender of Germany and Japan"
