front,back
What were the Middle Ages?,Period between ancient and modern times in Europe
When were the Middle Ages?,Approximately 500 to 1500 CE
What event began the Middle Ages?,Fall of the Western Roman Empire in 476 CE
What event ended the Middle Ages?,Fall of Constantinople or Renaissance beginning
What is another name for the Middle Ages?,Medieval period
What was feudalism?,Social system based on land ownership and loyalty
Who was at the top of the feudal system?,Kings and monarchs
What was a fief?,Land granted by a lord to a vassal
Who were vassals?,People who received land in exchange for service
Who were serfs?,Peasants bound to work the land
What was a manor?,Self-sufficient estate owned by a lord
What was manorialism?,Economic system centered on the manor
What were the three estates?,Clergy and nobility and peasants
Who were knights?,Mounted warriors who served lords
What was chivalry?,Code of conduct for knights
What was a castle?,Fortified residence of a lord
What was a moat?,Water-filled ditch around a castle
What was a drawbridge?,Bridge that could be raised for defense
What was the keep?,Strongest tower in a castle
What were the Crusades?,Religious wars to capture the Holy Land
How many major Crusades were there?,Nine major Crusades
When was the First Crusade?,1096 to 1099
Who called for the First Crusade?,Pope Urban II
What city did Crusaders capture in 1099?,Jerusalem
What were the effects of the Crusades?,Increased trade and cultural exchange
Who were the Knights Templar?,Military religious order from the Crusades
What was the Catholic Church's role?,Dominant religious and political institution
Who was the head of the Catholic Church?,The Pope
What was excommunication?,Being expelled from the Church
What was the Great Schism of 1054?,Split between Roman Catholic and Eastern Orthodox
What was the Investiture Controversy?,Conflict over who appoints Church officials
Who was Charlemagne?,Frankish king crowned Holy Roman Emperor
When was Charlemagne crowned emperor?,800 CE
What was the Holy Roman Empire?,Medieval empire in Central Europe
Who were the Vikings?,Scandinavian raiders and traders
Where did Vikings come from?,Norway and Sweden and Denmark
What were Viking ships called?,Longships
Who was Leif Erikson?,Viking explorer who reached North America
What was the Norman Conquest?,William of Normandy's invasion of England
When was the Battle of Hastings?,1066
Who was William the Conqueror?,Norman duke who became King of England
What was the Domesday Book?,Survey of English land ordered by William
What was the Magna Carta?,Charter limiting the king's power
When was the Magna Carta signed?,1215
Who signed the Magna Carta?,King John of England
What principle did Magna Carta establish?,Rule of law applies to everyone
What was Parliament?,Representative assembly in England
What was the Hundred Years War?,Conflict between England and France
When was the Hundred Years War?,1337 to 1453
Who was Joan of Arc?,French heroine who fought the English
What happened to Joan of Arc?,Burned at the stake for heresy
What was the Black Death?,Devastating plague that killed millions
When did the Black Death reach Europe?,1347
What caused the Black Death?,Bacteria spread by fleas on rats
How much of Europe's population died?,About one-third
What were effects of the Black Death?,Labor shortages and social upheaval
What was the Peasants' Revolt?,English uprising against serfdom in 1381
What were guilds?,Associations of craftsmen or merchants
What did guilds control?,Training and quality and prices
What was an apprentice?,Young person learning a trade
What was a journeyman?,Trained craftsman working for a master
What was a master craftsman?,Expert who could own a shop
What were medieval towns like?,Crowded and unsanitary but centers of trade
What was a cathedral?,Large important church
What style were medieval cathedrals?,Gothic architecture
What are flying buttresses?,External supports for cathedral walls
What were stained glass windows for?,Teaching Bible stories to illiterate people
Who was Thomas Aquinas?,Medieval philosopher who merged faith and reason
What were universities?,Institutions of higher learning
What was scholasticism?,Medieval academic tradition using logic
What language did scholars use?,Latin
What was the vernacular?,Local everyday languages
Who wrote The Divine Comedy?,Dante Alighieri
Who wrote The Canterbury Tales?,Geoffrey Chaucer
What was a monastery?,Religious community of monks
What was a convent?,Religious community of nuns
What did monks preserve?,Classical texts and knowledge
What was the Byzantine Empire?,Eastern Roman Empire centered on Constantinople
What was Constantinople?,Capital of the Byzantine Empire
When did Constantinople fall?,1453 to the Ottoman Turks
What was the Reconquista?,Christian reconquest of Spain from Muslims
When did the Reconquista end?,1492 with the fall of Granada
What was Al-Andalus?,Muslim-ruled territory in Spain
What contributions came from Islamic Spain?,Advances in science and medicine and philosophy
Who were the Moors?,Muslims who ruled parts of Spain
What was the Inquisition?,Church court to identify heretics
What inventions spread in the Middle Ages?,Printing press and gunpowder and compass
Who invented the printing press?,Johannes Gutenberg
When was the printing press invented?,Around 1440
What did the printing press enable?,Mass production of books and spread of ideas
