front,back
What is Newton's First Law of Motion?,An object at rest stays at rest and an object in motion stays in motion unless acted upon by an external force
What is Newton's Second Law of Motion?,Force equals mass times acceleration (F = ma)
What is Newton's Third Law of Motion?,For every action there is an equal and opposite reaction
What is velocity?,The rate of change of position with respect to time (speed with direction)
What is acceleration?,The rate of change of velocity with respect to time
What is momentum?,Mass times velocity (p = mv)
What is kinetic energy?,Energy of motion: KE = ½mv²
What is potential energy?,Stored energy due to position or configuration
What is the law of conservation of energy?,Energy cannot be created or destroyed only transformed from one form to another
What is the law of conservation of momentum?,Total momentum in a closed system remains constant
What is friction?,A force that opposes motion between surfaces in contact
What is gravity?,The attractive force between objects with mass
What is the gravitational constant (G)?,6.674 × 10⁻¹¹ N⋅m²/kg²
What is weight?,The force of gravity on an object (W = mg)
What is mass?,A measure of the amount of matter in an object
What is work in physics?,Force times displacement in the direction of force (W = Fd)
What is power?,The rate of doing work or transferring energy (P = W/t)
What is the unit of force?,Newton (N)
What is the unit of energy?,Joule (J)
What is the unit of power?,Watt (W)
What is pressure?,Force per unit area (P = F/A)
What is density?,Mass per unit volume (ρ = m/V)
What is terminal velocity?,The constant maximum velocity of a falling object when drag equals gravitational force
What is torque?,A rotational force that causes angular acceleration (τ = r × F)
What is angular momentum?,The rotational equivalent of linear momentum (L = Iω)
What is centripetal force?,Force directed toward the center of circular motion
What is simple harmonic motion?,Oscillatory motion where restoring force is proportional to displacement
What is the speed of sound in air?,Approximately 343 m/s at room temperature
What is the Doppler effect?,The change in frequency of a wave due to relative motion between source and observer
What is resonance?,When a system oscillates at maximum amplitude at its natural frequency
