"front","back"
"What was the Battle of Marathon (490 BC)?","A decisive Greek victory over the Persian Empire on the plains of Marathon, preserving Greek independence and inspiring the legend of Pheidippides' run to Athens"
"What was the Battle of Thermopylae (480 BC)?","A famous last stand where 300 Spartans and allied Greeks held off the massive Persian army of Xerxes I at a narrow coastal pass for three days"
"What was the Battle of Salamis (480 BC)?","A naval battle where the outnumbered Greek fleet defeated the Persian navy in the straits near Athens, turning the tide of the Greco-Persian Wars"
"What was the Battle of Gaugamela (331 BC)?","Alexander the Great's decisive victory over Persian King Darius III, effectively ending the Achaemenid Empire and making Alexander ruler of Persia"
"What was the Battle of Cannae (216 BC)?","Hannibal's masterpiece of tactical warfare where Carthaginian forces encircled and destroyed a much larger Roman army, killing up to 70,000 Romans in a single day"
"What was the Battle of Alesia (52 BC)?","Julius Caesar's siege of the Gallic stronghold where he built double fortifications — one facing in and one facing out — defeating Vercingetorix and completing the Roman conquest of Gaul"
"What was the Battle of Actium (31 BC)?","A naval battle where Octavian defeated the combined forces of Mark Antony and Cleopatra, leading to the end of the Roman Republic and the rise of the Roman Empire"
"What was the Battle of Teutoburg Forest (9 AD)?","Germanic tribes under Arminius ambushed and destroyed three Roman legions, permanently halting Roman expansion east of the Rhine River"
"What was the Battle of Tours (732 AD)?","Frankish leader Charles Martel defeated an invading Umayyad Muslim army in central France, often credited with halting the Islamic advance into Western Europe"
"What was the Battle of Hastings (1066)?","William the Conqueror's Norman forces defeated King Harold II of England, fundamentally changing English culture, language, and governance"
"What was the Battle of Hattin (1187)?","Saladin's decisive victory over the Crusader Kingdom of Jerusalem, leading to the Muslim recapture of Jerusalem and triggering the Third Crusade"
"What was the Battle of Agincourt (1415)?","English King Henry V's outnumbered army, relying heavily on longbowmen, defeated a much larger French force during the Hundred Years' War"
"What was the Fall of Constantinople (1453)?","Ottoman Sultan Mehmed II captured the Byzantine capital using massive cannons, ending the 1,000-year Byzantine Empire and marking the end of the medieval era"
"What was the Battle of Lepanto (1571)?","A Holy League fleet defeated the Ottoman navy in the largest naval battle in Western history since antiquity, checking Ottoman expansion in the Mediterranean"
"What was the Spanish Armada (1588)?","The failed invasion fleet sent by Spain's Philip II against England, defeated by English ships and devastating storms, shifting naval power toward England"
"What was the Battle of Vienna (1683)?","A combined European force led by Polish King Jan III Sobieski defeated the Ottoman siege of Vienna, marking the beginning of Ottoman decline in Europe"
"What was the Battle of Blenheim (1704)?","The Duke of Marlborough and Prince Eugene of Savoy defeated a Franco-Bavarian army, preventing French domination of Europe during the War of the Spanish Succession"
"What was the Battle of Trafalgar (1805)?","Admiral Horatio Nelson's Royal Navy destroyed the combined French and Spanish fleet, securing British naval supremacy for over a century, though Nelson was killed"
"What was the Battle of Austerlitz (1805)?","Napoleon's greatest victory, where he defeated a larger Russo-Austrian army through brilliant tactical deception, also known as the Battle of the Three Emperors"
"What was the Battle of Waterloo (1815)?","Napoleon's final defeat by the Duke of Wellington and Prussian forces under Blücher in Belgium, ending the Napoleonic era and reshaping European politics"
"What was the Battle of Gettysburg (1863)?","The bloodiest battle of the American Civil War, a decisive Union victory in Pennsylvania that marked the turning point against the Confederacy"
"What was the Battle of Tsushima (1905)?","The Japanese navy destroyed the Russian Baltic Fleet in the strait between Korea and Japan, the first modern victory of an Asian power over a European one"
"What was the Battle of the Somme (1916)?","One of the bloodiest battles of WWI, with over 1 million casualties over nearly five months. The British suffered 57,000 casualties on the first day alone"
"What was the Battle of Verdun (1916)?","A 10-month WWI battle of attrition between French and German forces, becoming a symbol of French determination with the motto 'They shall not pass'"
"What was the Battle of Stalingrad (1942-1943)?","The turning point of WWII's Eastern Front, where the Soviet Union encircled and destroyed Germany's 6th Army after months of brutal urban warfare"
"What was the Battle of Midway (1942)?","A pivotal WWII naval battle where the US Navy sank four Japanese aircraft carriers, shifting the balance of power in the Pacific Theater"
"What was D-Day / Battle of Normandy (1944)?","The largest amphibious invasion in history, where Allied forces landed on five beaches in Normandy, France, beginning the liberation of Western Europe from Nazi control"
"What was the Battle of the Bulge (1944-1945)?","Germany's last major offensive on the Western Front, a surprise attack through the Ardennes forest that initially pushed back Allied lines before being defeated"
"What was the Battle of Berlin (1945)?","The final major battle in Europe during WWII, where Soviet forces captured the German capital, leading to Hitler's suicide and Germany's unconditional surrender"
"What was the Battle of Dien Bien Phu (1954)?","A Viet Minh victory over French colonial forces in Vietnam, ending French rule in Indochina and setting the stage for American involvement in Vietnam"
