front,back
¿Qué película de 1980 lanzó la trilogía de secuelas de Star Wars?,El Imperio Contraataca
¿Quién dirigió "El Imperio Contraataca"?,Irvin Kershner
¿Qué película de 1981 introdujo a Indiana Jones?,En Busca del Arca Perdida
¿Quién interpretó a Indiana Jones?,Harrison Ford
¿Qué película de 1982 presentó un alienígena amigable?,E.T. el Extraterrestre
¿Quién dirigió "E.T."?,Steven Spielberg
¿Qué película de 1984 presentó un DeLorean que viaja en el tiempo?,Volver al Futuro
¿Quién interpretó a Marty McFly?,Michael J. Fox
¿Qué película de 1985 ganó el Oscar a Mejor Película sobre una mujer africana?,Memorias de África
¿Qué película de 1986 protagonizó Tom Cruise como piloto de la Marina?,Top Gun
¿Qué película de 1987 presentó un robot asesino del futuro?,Terminator (1984) / Robocop (1987)
¿Quién dirigió "Terminator"?,James Cameron
¿Qué película de 1988 presentó a Bruce Willis como John McClane?,Duro de Matar
¿Quién dirigió "Duro de Matar"?,John McTiernan
¿Qué película de 1989 revivió la franquicia Batman?,Batman
¿Quién dirigió "Batman" (1989)?,Tim Burton
¿Quién interpretó al Joker en "Batman" (1989)?,Jack Nicholson
¿Qué película de 1982 presentó replicantes y a Harrison Ford?,Blade Runner
¿Quién dirigió "Blade Runner"?,Ridley Scott
¿Qué película de terror de 1980 presentó a Jack Nicholson con un hacha?,El Resplandor
¿Quién dirigió "El Resplandor"?,Stanley Kubrick
¿Qué película de 1983 presentó a un grupo de amigos en una aventura de madurez?,Cuenta Conmigo
¿Qué película de 1986 presentó a Ferris tomándose un día libre?,Todo en un Día
¿Quién dirigió "Todo en un Día"?,John Hughes
¿Qué película de 1987 presentó una sensación del baile llamada Baby?,Dirty Dancing
¿Qué película animada de 1988 presentó a Roger Rabbit?,¿Quién Engañó a Roger Rabbit?
¿Qué película de 1984 presentó a un grupo de parapsicólogos?,Los Cazafantasmas
¿Qué película de 1985 protagonizó Whoopi Goldberg como psíquica?,El Color Púrpura
¿Quién dirigió "El Color Púrpura"?,Steven Spielberg
¿Qué película de gánsters de 1983 protagonizó Al Pacino como Tony Montana?,Scarface
