"front","back"
"¿Qué significa CIA en ciberseguridad?","Confidencialidad, Integridad y Disponibilidad — los tres principios centrales de seguridad"
"¿Qué es el phishing?","Un ataque de ingeniería social en el que criminales engañan a usuarios para revelar información sensible mediante mensajes o sitios falsos"
"¿Qué es la autenticación multifactor (MFA)?","Un método de inicio de sesión que requiere dos o más factores de verificación, como contraseña y código del móvil"
"¿Cuál es el propósito principal de un firewall?","Monitorear y filtrar el tráfico de red según reglas de seguridad, bloqueando accesos no autorizados"
"¿Qué es malware?","Software malicioso diseñado para dañar sistemas, robar datos o interrumpir operaciones"
"¿Qué es ransomware?","Un tipo de malware que cifra archivos y exige un pago para descifrarlos"
"¿Qué significa VPN?","Red Privada Virtual — un túnel cifrado que protege los datos en tránsito"
"¿Qué es la gestión de parches?","El proceso de actualizar software para corregir vulnerabilidades y mejorar la seguridad"
"¿Qué es una vulnerabilidad de día cero?","Una falla de software desconocida por el proveedor o sin parche disponible al momento del descubrimiento o ataque"
"¿Qué es el principio de mínimo privilegio?","Otorgar a usuarios y sistemas solo el acceso mínimo necesario para realizar sus tareas"
"¿Qué es el cifrado?","Proceso de convertir datos legibles en texto codificado para que solo partes autorizadas puedan leerlos"
"¿Cuál es la diferencia entre vulnerabilidad y amenaza?","Una vulnerabilidad es una debilidad; una amenaza es un evento o actor potencial que puede explotar esa debilidad"
"¿Qué es la ingeniería social?","Manipulación psicológica de personas para que revelen información confidencial o realicen acciones inseguras"
"¿Qué es un ataque de fuerza bruta?","Un ataque que prueba muchas combinaciones de contraseñas hasta encontrar la correcta"
"¿Qué es un gestor de contraseñas?","Herramienta que almacena de forma segura y genera contraseñas fuertes y únicas"
"¿Qué es la protección de endpoints?","Controles de seguridad instalados en dispositivos como portátiles y móviles para detectar y bloquear amenazas"
"¿Qué es un ataque DDoS?","Denegación de Servicio Distribuida — saturar un servicio con tráfico de muchas fuentes para dejarlo inactivo"
"¿Qué es un incidente de seguridad?","Un evento que compromete o amenaza la confidencialidad, integridad o disponibilidad"
"¿Qué es un IDS?","Sistema de Detección de Intrusiones — herramienta que monitorea tráfico y alerta sobre actividad sospechosa"
"¿Qué es un IPS?","Sistema de Prevención de Intrusiones — herramienta que detecta y bloquea activamente tráfico malicioso"
"¿Qué es la exfiltración de datos?","Transferencia no autorizada de datos fuera de una organización"
"¿Cuál es el objetivo de un programa de concienciación en seguridad?","Enseñar a las personas a reconocer y evitar amenazas cibernéticas como phishing y comportamientos inseguros"
"¿Qué es una copia de seguridad en ciberseguridad?","Una copia segura de datos usada para restaurar sistemas después de pérdida, corrupción o ataque"
"¿Por qué son importantes las copias offline contra ransomware?","Porque las copias desconectadas de la red son más difíciles de cifrar o borrar"
"¿Qué es la segmentación de red?","Dividir una red en zonas más pequeñas para limitar el movimiento del atacante y contener brechas"
"¿Qué significa SIEM?","Gestión de Información y Eventos de Seguridad — recopilación y análisis centralizado de registros de seguridad"
"¿Qué es una amenaza interna?","Un riesgo causado por alguien dentro de la organización, de forma maliciosa o por negligencia"
"¿Qué es la autenticación basada en tokens?","Método en el que los sistemas emiten un token digital temporal tras el inicio de sesión para verificar identidad"
"¿Qué es una política de seguridad?","Un conjunto documentado de reglas y procedimientos para proteger sistemas y datos"
"¿Qué es la respuesta a incidentes?","Proceso estructurado para detectar, contener, erradicar, recuperar y aprender de incidentes de seguridad"
