front,back
Qual filme noir de 1950 estrelou Gloria Swanson como uma estrela decadente?,Crepúsculo dos Deuses
Quem dirigiu "Crepúsculo dos Deuses"?,Billy Wilder
Qual musical de 1951 estrelou Gene Kelly cantando na chuva?,Cantando na Chuva
Qual filme de Marlon Brando estabeleceu a atuação método em 1951?,Uma Rua Chamada Pecado
Quem dirigiu "Janela Indiscreta" (1954)?,Alfred Hitchcock
Quem estrelou "Janela Indiscreta"?,James Stewart e Grace Kelly
Qual filme de 1954 estrelou Marlon Brando como um boxeador?,Sindicato de Ladrões
Quem dirigiu "Sindicato de Ladrões"?,Elia Kazan
Qual filme de 1955 fez de James Dean um ícone?,Juventude Transviada
Qual foi o outro grande filme de James Dean de 1955?,Vidas Amargas
Qual épico ganhou o Oscar de Melhor Filme em 1956?,A Volta ao Mundo em 80 Dias
Qual filme de 1956 estrelou Charlton Heston como Moisés?,Os Dez Mandamentos
Quem dirigiu "Os Dez Mandamentos"?,Cecil B. DeMille
Qual filme de 1957 apresentou um drama de tribunal com Henry Fonda?,12 Homens e uma Sentença
Quem dirigiu "12 Homens e uma Sentença"?,Sidney Lumet
Qual filme épico ganhou 11 Oscars em 1959?,Ben-Hur
Quem estrelou "Ben-Hur"?,Charlton Heston
Qual filme de Hitchcock de 1958 apresentava medo de altura?,Um Corpo que Cai
Quem estrelou "Um Corpo que Cai"?,James Stewart e Kim Novak
Qual comédia de Marilyn Monroe foi lançada em 1959?,Quanto Mais Quente Melhor
Quem dirigiu "Quanto Mais Quente Melhor"?,Billy Wilder
Qual filme japonês de 1954 influenciou muitos westerns de Hollywood?,Os Sete Samurais
Quem dirigiu "Os Sete Samurais"?,Akira Kurosawa
Qual musical estrelando Judy Garland foi um remake de 1954?,Nasce uma Estrela
Qual filme de 1957 foi um drama de tribunal sobre um caso de assassinato?,Testemunha de Acusação
Qual atriz estrelou "A Princesa e o Plebeu" (1953)?,Audrey Hepburn
Qual sistema de estúdios dominou Hollywood nos anos 1950?,Os Big Five studios
Qual tecnologia competiu com a TV nos anos 1950?,Formatos widescreen como CinemaScope
Qual clássico de 1950 estrelou Bette Davis dizendo "Apertem os cintos"?,A Malvada
Quem dirigiu "A Malvada"?,Joseph L. Mankiewicz
