"front","back"
"¿Qué famoso transatlántico se hundió el 15 de abril de 1912 tras chocar con un iceberg?","RMS Titanic — se hundió en su viaje inaugural en el Atlántico Norte, matando a más de 1.500 personas"
"¿Cómo se llamaba el galeón español que se hundió en Florida en 1622 y fue encontrado por Mel Fisher en 1985?","Nuestra Señora de Atocha — llevaba un tesoro estimado en 450 millones de dólares"
"¿Qué buque de guerra sueco se hundió en el puerto de Estocolmo en su viaje inaugural en 1628?","Vasa — zozobró y se hundió a solo 1.300 metros del inicio de su primer viaje por ser demasiado pesado en la parte superior"
"¿Qué transatlántico británico fue torpedeado por un submarino alemán en 1915, ayudando a llevar a EE.UU. a la Primera Guerra?","RMS Lusitania — se hundió frente a la costa de Irlanda, matando a 1.198 personas"
"¿Qué barco llevaba tesoros del Imperio Español y se hundió cerca de Cartagena, Colombia, en 1708?","San José — frecuentemente llamado el 'Santo Grial de los naufragios,' su carga se estima en miles de millones de dólares"
"¿Qué famoso barco pirata, capitaneado por Barbanegra, encalló en Carolina del Norte en 1718?","Queen Anne's Revenge — sus restos fueron descubiertos en 1996 cerca de Beaufort Inlet"
"¿Qué ferry de pasajeros se hundió en el Mar Báltico en 1994, matando a 852 personas?","MS Estonia — uno de los peores desastres marítimos en aguas europeas"
"¿Cómo se llamaba el barco que el explorador Ernest Shackleton perdió en el hielo antártico en 1915?","Endurance — fue aplastado por el hielo en el Mar de Weddell; sus restos fueron encontrados en 2022"
"¿Qué acorazado japonés, el más grande jamás construido, fue hundido por aviones estadounidenses en 1945?","Yamato — fue hundido durante la Operación Ten-Go mientras se dirigía a Okinawa"
"¿Qué buque de guerra alemán fue hundido por su propia tripulación en 1919 en Scapa Flow, Escocia?","SMS Bayern — parte del hundimiento masivo de la Flota de Alta Mar alemana tras la Primera Guerra"
"¿Qué barco llevaba una réplica de la Campana de la Libertad y se hundió en el Lago Michigan en 1860?","Lady Elgin — un vapor de excursión que chocó con una goleta, matando a unas 300 personas"
"¿Qué famoso barco usó Henry Hudson para buscar el Paso del Noroeste?","Discovery — la tripulación de Hudson se amotinó en 1611 y lo abandonó en la Bahía de Hudson"
"¿Qué transatlántico fue hundido deliberadamente como arrecife artificial frente a la costa de Florida en 2006?","USNS General Hoyt S. Vandenberg — ahora uno de los arrecifes artificiales más grandes del mundo"
"¿Qué barco hospital de la Primera Guerra se hundió en el Mar Egeo en 1916?","HMHS Britannic — barco hermano del Titanic, se hundió tras golpear una mina"
"¿Qué barco portugués se hundió en 1606 cerca de Mozambique llevando tesoros de la India?","São João Baptista — una de las muchas carracas portuguesas perdidas en la ruta de la Carreira da Índia"
"¿Qué barco de exploración ártica quedó atrapado en el hielo y fue abandonado en 1845?","HMS Erebus — parte de la expedición perdida de Franklin; sus restos fueron encontrados en 2014 en el Ártico canadiense"
"¿Qué crucero volcó frente a la isla italiana de Giglio en 2012?","Costa Concordia — el capitán Francesco Schettino fue condenado por homicidio imprudente de 32 personas"
"¿Qué antiguo barco mercante griego, datado en 300 a.C., fue encontrado en la costa de Chipre?","Barco de Kyrenia — uno de los naufragios antiguos mejor conservados, ahora exhibido en un museo en Chipre"
"¿Cuál fue el primer barco en hundir a otro usando torpedo en combate, en 1878?","Un barco torpedero ruso hundió al barco otomano Intibah en 1878"
"¿Qué famoso barco de la Compañía Holandesa de las Indias Orientales naufragó en Australia Occidental en 1629?","Batavia — tras el naufragio, ocurrió un motín y masacre entre los supervivientes"
"¿Qué barco fue encontrado abandonado en 1872 en lo que se conoció como 'el mayor misterio marítimo'?","Mary Celeste — encontrado a la deriva en el Atlántico sin tripulación, cuyo destino sigue siendo desconocido"
"¿Qué buque de guerra británico explotó y se hundió durante la Batalla de Jutlandia en 1916?","HMS Queen Mary — se partió tras la detonación de sus pañoles, matando a 1.266 tripulantes"
"¿Qué petrolero encalló en Alaska en 1989, causando uno de los peores derrames de petróleo de la historia de EE.UU.?","Exxon Valdez — derramó 11 millones de galones de petróleo crudo en el Prince William Sound"
"¿Qué submarino confederado fue el primero en hundir un barco enemigo en combate?","H.L. Hunley — hundió al USS Housatonic en 1864, pero también se perdió con toda la tripulación"
"¿Qué barco del tesoro se hundió en un huracán en Florida en 1715 como parte de una flota española?","La Flota del Tesoro de 1715 — once barcos se perdieron, esparciendo oro y plata por la costa de Florida"
"¿Qué famoso barco formaba parte de la flota de Colón y encalló en Haití en 1492?","Santa María — Colón usó su madera para construir La Navidad, el primer asentamiento europeo en las Américas"
"¿Qué transatlántico de lujo fue hundido por la marina italiana en la Segunda Guerra mientras era usado como transporte de tropas?","SS Rex — el ganador italiano del Blue Riband fue hundido por cohetes de la RAF en 1944 en el puerto de Trieste"
"¿Qué barco que transportaba convictos se hundió en la costa de Tasmania en 1835?","George III — uno de los peores desastres de barcos de convictos de Australia, matando a 134 personas"
"¿Qué famoso buque de guerra era la nave insignia del Almirante Nelson y sobrevivió a la Batalla de Trafalgar en 1805?","HMS Victory — ¡pregunta trampa! El Victory sobrevivió y está preservado en Portsmouth. Nelson murió a bordo."
"¿Qué barco del siglo XVII fue encontrado casi intacto en el Mar Negro en 2018, datando del 400 a.C.?","Un barco comercial griego — el naufragio intacto más antiguo jamás descubierto, encontrado a 2 km de profundidad donde la falta de oxígeno lo preservó"
